,dust,micro_dust,oz,NO2,CO,SO3,gu_name
1,45,23,0.022,0.034,0.4,0.006,종로
2,46,21,0.022,0.037,0.5,0.006,중구
3,45,23,0.021,0.035,0.5,0.006,용산
4,47,24,0.019,0.039,0.4,0.005,성동
5,50,23,0.027,0.028,0.6,0.005,광진
6,46,24,0.024,0.034,0.6,0.006,동대문
7,47,25,0.025,0.032,0.5,0.006,중랑
8,43,22,0.023,0.036,0.5,0.004,성북
9,46,23,0.024,0.03,0.4,0.005,강북
10,43,24,0.028,0.03,0.5,0.006,도봉
11,45,22,0.026,0.03,0.4,0.006,노원
12,45,23,0.023,0.032,0.6,0.005,은평
13,45,22,0.025,0.035,0.5,0.005,서대문
14,48,25,0.023,0.034,0.6,0.005,마포
15,47,24,0.022,0.035,0.5,0.007,양천
16,46,24,0.024,0.034,0.5,0.007,강서
17,48,24,0.024,0.032,0.6,0.006,구로
18,43,26,0.021,0.03,0.5,0.006,금천
19,46,25,0.025,0.032,0.7,0.006,영등포
20,43,25,0.024,0.036,0.5,0.007,동작
21,51,25,0.022,0.034,0.6,0.005,관악
22,47,25,0.023,0.032,0.5,0.005,서초
23,46,26,0.024,0.036,0.4,0.006,강남
24,43,23,0.023,0.032,0.6,0.004,송파
25,45,24,0.023,0.034,0.6,0.005,강동
